GeneInfo	GeneID	Gene_Desc	CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_003532-RA	Caust.v2_003532	NA	7	1	6	6	0	1	8	4	0	1	4	0
Caust.v2_003533-RA	Caust.v2_003533	NA	982	810	902	960	701	898	997	1165	835	743	764	1343
Caust.v2_003534-RA	Caust.v2_003534	NA	25	14	8	21	15	21	42	21	10	22	29	15
Caust.v2_003535-RA	Caust.v2_003535	actin-4	21056	26248	26411	51719	21995	22564	38225	45060	21736	25820	38677	52516
Caust.v2_003536-RA	Caust.v2_003536	transmembrane protein 104 homolog	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003536-RA	Caust.v2_003536	transmembrane protein 104 homolog	283	146	208	341	132	300	453	430	201	261	240	535
Caust.v2_003536-RB	Caust.v2_003536	transmembrane protein 104 homolog	2	3	10	3	2	2	1	1	2	8	0	1
Caust.v2_003537-RA	Caust.v2_003537	tbc1 domain family member 16-like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003538-RA	Caust.v2_003538	hydroxyacylglutathione mitochondrial	869	808	1032	940	791	931	1036	1281	859	1006	955	1482
Caust.v2_003539-RA	Caust.v2_003539	atp-dependent dna helicase q1-like	72	66	75	91	52	72	132	101	70	54	78	121
Caust.v2_003540-RA	Caust.v2_003540	non-histone protein 10	551	447	520	529	409	502	639	626	442	453	424	762
Caust.v2_003541-RA	Caust.v2_003541	NA	1	0	0	0	1	0	0	0	0	0	0	0
Caust.v2_003542-RA	Caust.v2_003542	atp-dependent dna helicase q1	0	0	0	0	0	0	0	0	0	0	2	1
Caust.v2_003543-RA	Caust.v2_003543	monocarboxylate transporter 12	3359	1862	1831	2746	1296	2454	3648	4020	1948	2194	2832	5303
Caust.v2_003544-RA	Caust.v2_003544	NA	0	0	0	0	0	0	0	0	0	0	1	0
Caust.v2_003545-RA	Caust.v2_003545	NA	0	2	1	0	0	0	0	0	0	0	0	0
Caust.v2_003546-RA	Caust.v2_003546	uncharacterized protein loc103573983	93	145	125	160	120	89	66	117	149	71	86	87
Caust.v2_003547-RA	Caust.v2_003547	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003548-RA	Caust.v2_003548	 	765	1041	1015	1171	942	532	526	624	661	531	643	750
Caust.v2_003549-RA	Caust.v2_003549	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003550-RA	Caust.v2_003550	NA	1	17	8	29	24	2	24	10	3	11	7	23
Caust.v2_003551-RA	Caust.v2_003551	protein efr3-like protein a	111	43	83	112	56	74	88	90	55	74	85	52
Caust.v2_003552-RA	Caust.v2_003552	transcription initiation factor tfiid subunit 1	1416	1055	1021	1163	1027	854	1205	1214	1034	912	1043	1136
Caust.v2_003553-RB	Caust.v2_003553	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003553-RA	Caust.v2_003553	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003553-RA	Caust.v2_003553	 	1288	637	952	945	659	1009	1014	1285	806	854	800	1212
Caust.v2_003554-RA	Caust.v2_003554	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003555-RA	Caust.v2_003555	serine threonine-protein kinase lmtk1	1346	805	902	1135	770	796	801	998	907	982	1042	816
Caust.v2_003556-RA	Caust.v2_003556	diphthamide biosynthesis protein 1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003557-RA	Caust.v2_003557	low quality protein: diphthamide biosynthesis protein 1-like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003558-RA	Caust.v2_003558	dna polymerase delta small subunit-like	0	0	0	1	1	17	0	0	0	0	0	16
Caust.v2_003559-RA	Caust.v2_003559	NA	17	10	17	8	16	12	8	12	20	9	0	5
Caust.v2_003560-RA	Caust.v2_003560	 	29	28	19	23	30	38	41	50	29	34	20	60
Caust.v2_003561-RA	Caust.v2_003561	NA	231	152	189	193	112	205	325	410	122	168	172	529
Caust.v2_003562-RA	Caust.v2_003562	 	955	556	774	749	607	855	1014	1174	864	816	667	1319
Caust.v2_003563-RA	Caust.v2_003563	valyl-trna synthetase	542	359	478	556	407	429	402	496	415	400	363	370
Caust.v2_003564-RA	Caust.v2_003564	3-hydroxyacyl- dehydrogenase type-2-like	8995	9561	8057	7476	7791	10252	16623	22685	17578	7241	11888	21927
Caust.v2_003565-RA	Caust.v2_003565	 	119	128	148	128	138	164	119	99	118	88	147	100
Caust.v2_003566-RA	Caust.v2_003566	NA	1	5	0	6	0	3	3	3	2	6	2	0
Caust.v2_003567-RA	Caust.v2_003567	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003567-RB	Caust.v2_003567	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003567-RB	Caust.v2_003567	 	1222	1073	1335	1145	832	1034	990	1292	1107	1016	1056	1353
Caust.v2_003568-RA	Caust.v2_003568	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003568-RB	Caust.v2_003568	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003568-RB	Caust.v2_003568	 	7	1	0	3	6	0	2	5	4	4	3	2
Caust.v2_003569-RA	Caust.v2_003569	cold shock domain-containing protein e1	0	0	0	0	0	0	0	0	0	0	2	0
Caust.v2_003570-RA	Caust.v2_003570	ataxin-3-like isoform 1	504	422	398	576	383	432	427	536	345	389	427	569
Caust.v2_003571-RA	Caust.v2_003571	serine threonine-protein kinase srpk1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003571-RC	Caust.v2_003571	serine threonine-protein kinase srpk1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003571-RA	Caust.v2_003571	serine threonine-protein kinase srpk1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003571-RA	Caust.v2_003571	serine threonine-protein kinase srpk1	1447	935	987	1408	863	1243	1758	1907	894	1031	1092	2799
Caust.v2_003571-RB	Caust.v2_003571	serine threonine-protein kinase srpk1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003572-RA	Caust.v2_003572	sodium hydrogen exchanger 8	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003573-RA	Caust.v2_003573	diphthamide biosynthesis protein 2	669	539	580	730	528	594	601	811	606	535	581	752
Caust.v2_003574-RA	Caust.v2_003574	NA	1340	1160	1064	1509	941	880	1128	1555	1166	1051	1040	1182
Caust.v2_003575-RB	Caust.v2_003575	pp2c-like domain-containing protein cg9801	1402	1016	1137	968	783	1350	1715	1779	1162	1009	946	2241
Caust.v2_003575-RA	Caust.v2_003575	pp2c-like domain-containing protein cg9801	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003575-RB	Caust.v2_003575	pp2c-like domain-containing protein cg9801	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003576-RA	Caust.v2_003576	 	3119	2608	2493	2388	2375	2438	2113	2640	2433	1880	2142	2645
Caust.v2_003577-RC	Caust.v2_003577	polyadenylate-binding protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003577-RA	Caust.v2_003577	polyadenylate-binding protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003577-RC	Caust.v2_003577	polyadenylate-binding protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003577-RB	Caust.v2_003577	polyadenylate-binding protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003578-RA	Caust.v2_003578	dna polymerase delta subunit 3-like	1117	470	676	781	391	838	1221	1206	652	689	623	1888
Caust.v2_003579-RA	Caust.v2_003579	alpha beta hydrolase domain-containing protein 13	855	595	877	754	533	752	972	1178	682	601	736	1226
Caust.v2_003580-RA	Caust.v2_003580	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003581-RA	Caust.v2_003581	6-phosphogluconolactonase	8650	5788	6363	6337	3771	7469	10348	11140	6513	7094	6353	13364
Caust.v2_003582-RA	Caust.v2_003582	calcium-binding mitochondrial carrier protein s -2 isoform x1	368	263	295	277	143	237	363	381	152	197	203	410
Caust.v2_003583-RA	Caust.v2_003583	ring finger and ccch-type zinc finger domain-containing protein 2-like	1051	1159	1117	1545	1130	852	881	1067	1108	1019	1069	881
Caust.v2_003584-RA	Caust.v2_003584	mitochondrial carrier homolog 2-like	1571	1137	1399	1380	1016	1331	1363	1853	1272	1227	1081	1844
Caust.v2_003585-RA	Caust.v2_003585	usp6 n-terminal-like protein	1135	594	802	895	510	783	969	1185	626	687	732	1121
Caust.v2_003586-RA	Caust.v2_003586	uncharacterized protein loc102118097	1	0	3	1	0	0	0	0	0	2	1	0
Caust.v2_003587-RA	Caust.v2_003587	histone h2a	25	6	23	16	4	9	6	10	1	14	4	11
Caust.v2_003588-RA	Caust.v2_003588	nuclear pore complex protein nup155	2355	1163	1769	1830	989	2187	2777	3230	1553	2023	1649	4254
Caust.v2_003588-RA	Caust.v2_003588	nuclear pore complex protein nup155	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003588-RD	Caust.v2_003588	nuclear pore complex protein nup155	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003588-RC	Caust.v2_003588	nuclear pore complex protein nup155	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003588-RA	Caust.v2_003588	nuclear pore complex protein nup155	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003589-RA	Caust.v2_003589	 	6	2	2	0	2	0	3	1	0	4	3	4
Caust.v2_003590-RA	Caust.v2_003590	eukaryotic translation initiation factor 2-alpha kinase	1441	1287	1363	1631	1290	1026	1291	1466	1197	1119	1145	1395
Caust.v2_003591-RC	Caust.v2_003591	tom1-like protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003591-RE	Caust.v2_003591	tom1-like protein 2	12	8	4	25	7	5	6	18	7	4	11	5
Caust.v2_003591-RA	Caust.v2_003591	tom1-like protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003591-RD	Caust.v2_003591	tom1-like protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003591-RD	Caust.v2_003591	tom1-like protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003591-RA	Caust.v2_003591	tom1-like protein 2	0	0	0	0	0	0	0	1	1	0	0	1
Caust.v2_003591-RD	Caust.v2_003591	tom1-like protein 2	33	34	25	38	21	26	22	29	25	18	24	21
Caust.v2_003591-RA	Caust.v2_003591	tom1-like protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003591-RD	Caust.v2_003591	tom1-like protein 2	6	16	11	14	8	11	10	16	12	6	9	7
Caust.v2_003591-RF	Caust.v2_003591	tom1-like protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003591-RE	Caust.v2_003591	tom1-like protein 2	18	33	32	27	27	23	15	22	20	10	16	19
Caust.v2_003591-RD	Caust.v2_003591	tom1-like protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003592-RA	Caust.v2_003592	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003592-RD	Caust.v2_003592	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003592-RB	Caust.v2_003592	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003592-RB	Caust.v2_003592	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003592-RB	Caust.v2_003592	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003592-RB	Caust.v2_003592	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003593-RA	Caust.v2_003593	peptidyl-prolyl cis-trans isomerase 5-like	2369	2974	3142	3316	2811	3131	3577	4371	2880	2909	4014	4892
Caust.v2_003594-RA	Caust.v2_003594	 	78	48	75	68	61	55	72	106	90	71	64	85
Caust.v2_003595-RC	Caust.v2_003595	nudix hydrolase 8-like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003595-RE	Caust.v2_003595	nudix hydrolase 8-like	392	428	434	481	477	257	255	296	313	265	332	233
Caust.v2_003595-RD	Caust.v2_003595	nudix hydrolase 8-like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003595-RE	Caust.v2_003595	nudix hydrolase 8-like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003595-RC	Caust.v2_003595	nudix hydrolase 8-like	30	25	31	24	26	23	15	32	38	19	20	16
Caust.v2_003596-RA	Caust.v2_003596	glycoprotein 3-alpha-l-fucosyltransferase a-like	131	42	67	77	54	51	41	51	53	46	51	44
Caust.v2_003597-RA	Caust.v2_003597	ribosomal l1 domain-containing protein cg13096-like	2055	1417	1664	2205	1161	1634	1932	2554	1359	1725	1477	2652
Caust.v2_003598-RA	Caust.v2_003598	ankyrin repeat domain-containing protein 40-like	0	0	0	0	0	0	1	2	0	0	1	1
Caust.v2_003599-RA	Caust.v2_003599	kalirin isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003599-RB	Caust.v2_003599	kalirin isoform x1	0	0	0	0	0	0	0	0	0	1	0	0
Caust.v2_003599-RB	Caust.v2_003599	kalirin isoform x1	6573	6095	6103	7178	6071	5452	4678	7267	7001	5323	6225	5190
Caust.v2_003599-RB	Caust.v2_003599	kalirin isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003599-RC	Caust.v2_003599	kalirin isoform x1	1	2	0	0	0	0	0	0	0	0	0	0
Caust.v2_003599-RB	Caust.v2_003599	kalirin isoform x1	17	10	19	15	7	12	8	9	9	11	6	4
Caust.v2_003599-RB	Caust.v2_003599	kalirin isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003599-RD	Caust.v2_003599	kalirin isoform x1	0	0	1	0	1	0	1	1	2	1	0	0
Caust.v2_003600-RA	Caust.v2_003600	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003600-RA	Caust.v2_003600	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003600-RB	Caust.v2_003600	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003601-RA	Caust.v2_003601	NA	719	466	717	605	570	571	206	404	615	476	342	258
Caust.v2_003602-RA	Caust.v2_003602	 	1956	1782	2068	2263	1661	1625	1573	2290	1559	1608	1567	2580
Caust.v2_003603-RA	Caust.v2_003603	glucose dehydrogenase	10	20	19	10	10	5	7	6	12	14	4	0
Caust.v2_003604-RA	Caust.v2_003604	NA	10	3	12	11	4	8	6	14	9	7	12	3
Caust.v2_003605-RA	Caust.v2_003605	gamma-aminobutyric acid type b receptor subunit 2-like	6	1	7	2	5	4	0	4	8	5	2	0
Caust.v2_003606-RA	Caust.v2_003606	gamma-aminobutyric acid type b receptor subunit 2	19	17	19	16	11	13	16	13	32	4	16	9
Caust.v2_003607-RA	Caust.v2_003607	NA	11	12	7	5	10	13	3	4	6	2	7	9
Caust.v2_003608-RA	Caust.v2_003608	aldehyde mitochondrial	3252	5882	2962	4653	3781	4113	4892	7866	3871	4622	3404	7481
Caust.v2_003609-RA	Caust.v2_003609	wd repeat-containing protein 24-like	1	0	0	5	0	0	1	2	1	0	1	1
Caust.v2_003610-RA	Caust.v2_003610	mitogen-activated protein kinase kinase kinase kinase 5-like isoform 1	326	183	179	288	133	217	268	317	180	172	177	378
Caust.v2_003611-RA	Caust.v2_003611	pleckstrin-like proteiny domain-containing family g member 1	672	490	630	552	482	559	539	638	451	449	490	489
Caust.v2_003611-RB	Caust.v2_003611	pleckstrin-like proteiny domain-containing family g member 1	128	124	125	211	107	121	125	208	142	107	118	251
Caust.v2_003611-RB	Caust.v2_003611	pleckstrin-like proteiny domain-containing family g member 1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003612-RA	Caust.v2_003612	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003613-RA	Caust.v2_003613	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003614-RA	Caust.v2_003614	carboxylesterase 5a-like	5	8	9	13	10	4	12	12	10	11	14	24
Caust.v2_003615-RA	Caust.v2_003615	ras-like protein 3	4378	3749	4023	5553	3277	3807	5017	5444	3276	3677	4484	6229
Caust.v2_003616-RA	Caust.v2_003616	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003617-RA	Caust.v2_003617	NA	5	3	10	3	9	6	15	21	4	5	10	3
Caust.v2_003618-RA	Caust.v2_003618	peroxisome biogenesis factor 10-like	4	1	1	1	1	0	2	3	1	0	1	0
Caust.v2_003619-RB	Caust.v2_003619	myotubularin-related protein 14	13	9	11	5	3	8	9	6	6	8	10	14
Caust.v2_003619-RA	Caust.v2_003619	myotubularin-related protein 14	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003619-RA	Caust.v2_003619	myotubularin-related protein 14	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003620-RA	Caust.v2_003620	39s ribosomal protein mitochondrial-like	1140	697	1110	1058	866	1110	1254	1637	903	924	878	1679
Caust.v2_003621-RA	Caust.v2_003621	 	4	0	3	0	0	2	0	2	4	2	2	1
Caust.v2_003622-RA	Caust.v2_003622	zinc finger protein 569-like	31	37	22	31	34	27	3	16	37	35	34	36
Caust.v2_003623-RA	Caust.v2_003623	chymotrypsin-like elastase family member 2a-like	14	70	27	50	19	14	16	53	30	30	54	16
Caust.v2_003624-RA	Caust.v2_003624	NA	3	10	4	0	1	0	2	4	6	2	0	0
Caust.v2_003625-RA	Caust.v2_003625	transient receptor potential cation channel trpm-like	1158	861	1003	1156	1070	894	917	998	1034	755	930	1231
Caust.v2_003626-RA	Caust.v2_003626	39s ribosomal protein mitochondrial	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003626-RA	Caust.v2_003626	39s ribosomal protein mitochondrial	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003626-RA	Caust.v2_003626	39s ribosomal protein mitochondrial	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003626-RB	Caust.v2_003626	39s ribosomal protein mitochondrial	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003626-RC	Caust.v2_003626	39s ribosomal protein mitochondrial	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003627-RA	Caust.v2_003627	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003627-RB	Caust.v2_003627	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003627-RA	Caust.v2_003627	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003628-RA	Caust.v2_003628	importin subunit alpha-4	92	91	117	138	81	79	145	120	110	65	58	99
Caust.v2_003629-RA	Caust.v2_003629	t-complex protein 1 subunit zeta	0	0	0	0	0	1	0	1	0	0	2	0
Caust.v2_003630-RI	Caust.v2_003630	 	523	225	298	386	170	515	995	941	440	400	405	1268
Caust.v2_003630-RI	Caust.v2_003630	 	1913	927	1402	1354	956	1424	1922	2170	1190	1202	1273	2173
Caust.v2_003630-RF	Caust.v2_003630	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003630-RA	Caust.v2_003630	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003630-RI	Caust.v2_003630	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003630-RI	Caust.v2_003630	 	0	0	0	0	0	0	0	0	1	0	0	0
Caust.v2_003630-RI	Caust.v2_003630	 	2	1	1	0	0	2	3	4	3	2	2	2
Caust.v2_003630-RB	Caust.v2_003630	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003630-RG	Caust.v2_003630	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003630-RI	Caust.v2_003630	 	4	1	5	2	2	11	7	6	1	4	0	9
Caust.v2_003630-RI	Caust.v2_003630	 	2087	791	1154	1509	600	1865	2594	3357	1500	1404	1353	3792
Caust.v2_003630-RE	Caust.v2_003630	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003631-RA	Caust.v2_003631	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003632-RA	Caust.v2_003632	myb-like protein x-like	1449	855	1074	1385	921	1532	3048	3113	1202	1024	1230	6822
Caust.v2_003633-RA	Caust.v2_003633	NA	601	372	495	439	254	465	771	715	370	340	364	889
Caust.v2_003634-RA	Caust.v2_003634	non-structural maintenance of chromosomes element 1 homolog	539	348	481	406	294	486	596	671	412	322	371	637
Caust.v2_003635-RA	Caust.v2_003635	calcium calmodulin-dependent protein kinase type 1-like	47	45	46	77	48	41	43	58	51	54	47	44
Caust.v2_003636-RA	Caust.v2_003636	eukaryotic translation initiation factor 3 subunit h-like	1672	1477	1649	1950	1451	1682	1811	2257	1570	1466	1717	2176
Caust.v2_003637-RA	Caust.v2_003637	uncharacterized protein loc100680231	826	272	482	511	240	656	1181	1125	470	455	490	2309
Caust.v2_003638-RA	Caust.v2_003638	zinc finger protein 367	242	199	240	267	164	236	503	490	201	196	220	677
Caust.v2_003639-RA	Caust.v2_003639	plasminogen activator inhibitor 1 rna-binding protein	16008	10842	13990	16123	11083	12503	11956	17477	12106	11934	10365	16918
Caust.v2_003640-RA	Caust.v2_003640	plexin-b	448	226	207	388	203	286	346	466	265	325	354	336
Caust.v2_003641-RA	Caust.v2_003641	integrator complex subunit 12	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003641-RC	Caust.v2_003641	integrator complex subunit 12	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003641-RB	Caust.v2_003641	integrator complex subunit 12	1297	853	1179	1036	718	1134	1115	1240	904	916	965	1314
Caust.v2_003641-RB	Caust.v2_003641	integrator complex subunit 12	5	2	3	3	2	2	4	5	1	4	3	3
Caust.v2_003642-RA	Caust.v2_003642	NA	153	92	93	130	79	116	144	221	96	121	116	221
Caust.v2_003643-RB	Caust.v2_003643	zinc finger ran-binding domain-containing protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003643-RB	Caust.v2_003643	zinc finger ran-binding domain-containing protein 2	1018	535	860	781	724	793	597	680	705	588	637	713
Caust.v2_003643-RA	Caust.v2_003643	zinc finger ran-binding domain-containing protein 2	0	3	1	3	1	1	0	2	0	2	2	0
Caust.v2_003644-RA	Caust.v2_003644	NA	1012	829	990	1069	685	966	964	1110	810	858	853	1051
Caust.v2_003645-RA	Caust.v2_003645	coronin-7-like isoform x2	263	189	169	271	171	150	174	212	188	189	187	183
Caust.v2_003646-RA	Caust.v2_003646	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003647-RA	Caust.v2_003647	tbc1 domain family member 19-like	11	9	9	11	10	10	10	6	8	10	21	10
Caust.v2_003648-RA	Caust.v2_003648	transcriptional regulator atrx	15	5	11	8	5	7	6	14	1	12	7	9
Caust.v2_003649-RE	Caust.v2_003649	uncharacterized protein loc100121799 isoform x1	0	0	0	0	4	0	1	0	1	5	3	0
Caust.v2_003649-RB	Caust.v2_003649	uncharacterized protein loc100121799 isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003649-RB	Caust.v2_003649	uncharacterized protein loc100121799 isoform x1	9	3	4	5	6	5	3	2	6	5	6	5
Caust.v2_003649-RA	Caust.v2_003649	uncharacterized protein loc100121799 isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003649-RB	Caust.v2_003649	uncharacterized protein loc100121799 isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003649-RB	Caust.v2_003649	uncharacterized protein loc100121799 isoform x1	439	301	441	344	266	404	365	388	445	372	346	391
Caust.v2_003649-RB	Caust.v2_003649	uncharacterized protein loc100121799 isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003649-RC	Caust.v2_003649	uncharacterized protein loc100121799 isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003650-RA	Caust.v2_003650	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003651-RA	Caust.v2_003651	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003652-RA	Caust.v2_003652	NA	4	0	4	0	0	3	2	0	2	0	4	1
Caust.v2_003653-RA	Caust.v2_003653	cyclin-dependent kinase 1-like isoform 1	4017	2263	3352	2567	1776	3631	3467	4445	2886	2727	2447	4991
Caust.v2_003654-RB	Caust.v2_003654	apolipoprotein d-like	3092	13868	5723	12441	7695	5499	7926	23754	6016	18075	26882	16229
Caust.v2_003655-RA	Caust.v2_003655	uncharacterized protein loc100118491 isoform x1	94	129	79	138	72	79	20	46	66	99	66	75
Caust.v2_003656-RB	Caust.v2_003656	lim domain kinase 1-like isoform 1	2310	1238	1518	1646	811	1697	2642	2559	1204	1360	1322	3912
Caust.v2_003656-RA	Caust.v2_003656	lim domain kinase 1-like isoform 1	41	43	28	49	25	47	7	27	25	39	30	19
Caust.v2_003656-RB	Caust.v2_003656	lim domain kinase 1-like isoform 1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003657-RA	Caust.v2_003657	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003658-RA	Caust.v2_003658	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003659-RA	Caust.v2_003659	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003660-RA	Caust.v2_003660	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003661-RA	Caust.v2_003661	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003662-RA	Caust.v2_003662	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003663-RA	Caust.v2_003663	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003664-RA	Caust.v2_003664	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003665-RA	Caust.v2_003665	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003666-RA	Caust.v2_003666	NA	0	0	0	0	0	0	0	0	2	0	0	0
Caust.v2_003667-RA	Caust.v2_003667	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003668-RA	Caust.v2_003668	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003669-RA	Caust.v2_003669	NA	0	0	0	0	1	0	0	0	0	0	0	0
Caust.v2_003670-RA	Caust.v2_003670	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003671-RA	Caust.v2_003671	NA	1	0	0	1	0	0	0	0	0	0	0	0
Caust.v2_003672-RA	Caust.v2_003672	optomotor-blind protein	3	3	2	15	6	1	0	4	5	1	3	1
Caust.v2_003673-RA	Caust.v2_003673	optomotor-blind protein	126	108	161	116	123	107	65	144	94	139	96	56
Caust.v2_003674-RA	Caust.v2_003674	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003675-RA	Caust.v2_003675	NA	0	0	0	0	0	0	1	0	0	5	0	0
Caust.v2_003676-RA	Caust.v2_003676	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003677-RA	Caust.v2_003677	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003678-RA	Caust.v2_003678	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_003679-RA	Caust.v2_003679	NA	0	5	0	1	0	7	4	0	21	0	0	0
Caust.v2_003680-RA	Caust.v2_003680	NA	0	6	0	0	0	26	0	0	41	0	0	0
Caust.v2_003681-RA	Caust.v2_003681	fanconi anemia group j protein homolog	6	13	12	8	4	10	10	25	13	6	12	14
Caust.v2_003682-RA	Caust.v2_003682	NA	0	0	0	0	0	0	0	0	0	0	0	0
