GeneInfo	AM_N_056	AM_N_068	AM_N_072	AM_P_053	AM_P_057	AM_P_061	AM_SL_050	AM_SL_054	AM_SL_058	AM_SM_051	AM_SM_059	AM_SM_075
rna-XM_006571499.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_003251702.4	737	513	314	596	301	882	465	594	576	683	712	914
rna-XR_001704665.2	3	0	0	1	0	1	1	1	0	2	1	4
rna-XM_026446250.1	12004	4808	3006	3066	2226	1747	3973	4981	4669	4134	5648	7104
rna-XM_026446255.1	11	1	0	3	2	8	10	2	6	3	1	3
rna-XM_026446252.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446251.1	350	675	354	295	273	364	767	374	150	355	695	390
rna-XM_026446253.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446254.1	2	5	5	1	4	9	9	11	6	5	3	6
rna-XM_006571494.3	0	0	0	0	0	0	0	1	0	0	0	0
rna-XM_016917687.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917686.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571491.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571492.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571493.3	0	0	0	0	0	2	0	0	0	0	0	0
rna-NR_034305.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-Mir932	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003304818.1	0	1	0	0	0	0	2	0	0	0	2	0
rna-XR_003304819.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_001122093.5	630	427	504	425	264	389	300	433	367	405	595	503
rna-XM_392174.7	661	440	374	485	327	573	422	512	488	686	625	733
rna-XM_006571481.3	3	7	2	0	1	9	1	2	7	2	4	3
rna-XM_006571482.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571480.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446205.1	5	2	2	0	0	7	1	4	2	11	6	9
rna-XM_006571489.3	3	3	1	5	2	7	3	4	4	2	5	5
rna-XM_006571484.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571487.3	13	1	5	4	7	15	6	8	10	4	13	9
rna-XM_026446207.1	0	0	1	0	0	0	0	0	0	0	0	0
rna-XM_016916536.2	1	3	2	0	2	10	3	1	5	2	6	2
rna-XM_006571483.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016916544.2	0	0	0	3	3	2	0	1	0	3	2	0
rna-XM_006571485.3	12	5	1	1	1	24	5	4	6	1	24	4
rna-XM_006571490.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_392808.7	218	204	146	166	182	493	230	492	191	316	594	277
rna-XM_016916520.2	14	8	2	20	5	33	5	23	12	15	26	23
rna-XM_006571479.3	0	1	0	3	1	2	0	0	4	2	2	6
rna-XM_006571478.3	0	4	0	0	1	0	5	0	4	0	3	5
rna-XM_026439516.1	157	64	65	137	54	95	73	92	78	174	65	142
rna-XM_393012.7	135	100	82	120	121	108	117	126	77	150	150	187
rna-XM_026439518.1	108	57	38	72	46	116	88	54	85	73	97	126
rna-XM_625036.5	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571475.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_001120360.5	11965	4086	4640	6768	3366	7073	4292	6940	7072	8055	5488	12877
rna-XM_016916454.2	2361	1276	1266	2081	881	2542	1384	1959	1477	2088	1486	2623
rna-XM_016916451.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026443368.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016916450.2	0	0	1	0	0	2	0	0	1	3	0	1
rna-NR_127352.1	60	37	29	14	22	23	21	16	15	29	40	31
rna-Mir9871	0	0	0	0	0	0	0	0	0	0	0	0
rna-NR_034293.1	2	1	0	0	0	2	0	2	3	2	0	0
rna-Mir33	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_001123143.5	127	64	81	82	56	80	60	38	52	77	83	114
rna-XM_026446320.1	253	141	117	242	90	306	148	174	157	236	185	307
rna-XM_624746.6	755	392	438	533	291	704	471	584	504	675	585	823
rna-XM_016916449.2	70	37	41	72	40	70	30	55	30	85	82	119
rna-XM_026442834.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442833.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_624690.6	854	501	505	564	408	554	492	627	467	729	695	865
rna-XM_396165.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571467.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026443914.1	321	162	163	227	124	272	149	265	249	228	293	333
rna-XM_623426.6	1647	708	711	1168	558	1399	684	1020	970	1276	1068	1991
rna-XM_026443225.1	821	371	357	685	235	560	400	474	440	518	542	1045
rna-XR_412198.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_395842.6	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571465.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_392973.5	847	456	503	615	405	625	476	650	566	696	671	906
rna-XM_016912595.2	2	0	0	6	0	2	1	0	0	1	2	1
rna-NM_001077819.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026443055.1	0	0	1	0	0	0	0	0	1	0	0	0
rna-NM_001078661.1	0	0	0	3	0	0	1	0	0	0	0	0
rna-XR_412197.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003304718.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571464.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_392753.7	323	213	203	222	239	352	226	293	243	318	392	322
rna-XM_016916486.2	207	99	113	105	61	170	94	148	71	201	125	223
rna-XM_006571462.3	2293	939	992	1553	726	1555	968	1406	1222	1649	1246	2393
rna-XM_026442783.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442785.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442781.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016916035.2	1	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016916040.2	0	0	2	0	1	2	0	0	2	1	1	0
rna-XM_016916044.2	5	0	0	2	0	0	0	0	0	0	0	4
rna-XM_026442794.1	1734	681	625	783	321	879	550	714	699	919	506	1282
rna-XM_016916524.2	19	11	7	16	4	13	8	8	17	15	5	21
rna-XM_006571461.3	15	5	5	12	4	8	4	2	7	8	5	14
rna-XM_026442795.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442798.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442799.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_623776.6	4325	2026	1914	2529	974	2330	2169	2447	2618	2829	1691	3574
rna-XM_396967.6	756	367	350	487	262	512	408	487	501	601	527	875
rna-XM_026446321.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446331.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446323.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_001119891.5	481	200	218	313	153	280	181	346	293	303	274	432
rna-XM_026446316.1	1003	687	588	912	607	912	801	1113	653	1032	1160	1345
rna-XM_006571631.3	157	89	107	165	81	143	100	199	109	159	157	202
rna-NM_001012963.1	1	0	1	0	1	0	0	3	0	2	0	0
rna-XM_001119904.4	71	80	47	200	44	104	98	56	71	106	41	144
rna-XR_412205.3	10	5	1	7	1	10	12	3	2	4	6	4
rna-XM_396993.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016915281.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446159.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_393536.6	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_003251721.4	1194	749	720	758	586	1048	738	1057	893	1189	1357	1251
rna-XM_006571632.3	1146	630	549	801	630	827	867	886	683	996	1304	1053
rna-XM_395017.7	264	156	145	279	96	287	131	164	195	253	205	338
rna-XM_003251722.4	43	24	24	17	16	51	30	36	28	36	56	58
rna-XM_026443045.1	322	318	228	293	257	415	342	310	230	500	552	346
rna-XM_026445202.1	237	95	76	135	56	170	77	114	98	147	97	250
rna-XM_006571633.2	173	139	117	147	102	187	129	166	120	176	230	263
rna-XM_006571634.3	376	176	216	247	175	256	205	323	201	268	329	350
rna-XM_006571635.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_395682.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917898.2	0	0	0	0	0	0	2	0	1	1	0	4
rna-XM_624574.6	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571638.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571641.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_624446.6	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571642.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571644.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442523.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571643.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_394253.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_392172.7	788	475	389	459	347	618	425	557	548	637	607	943
rna-XM_394252.5	2207	586	863	1299	801	571	764	1187	720	1164	568	1618
rna-XM_026442273.1	20	11	9	9	5	9	12	24	10	11	14	16
rna-XM_006571647.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571650.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571651.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571655.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571648.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016915976.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571653.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571657.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016915980.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016915986.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442233.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442270.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571659.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571661.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571656.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571649.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571658.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571652.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_412211.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001705461.2	25	6	18	61	10	220	26	60	66	140	159	133
rna-XM_026442277.1	36	13	13	85	4	46	51	51	43	83	44	85
rna-XM_026442281.1	252	147	146	214	129	375	363	441	284	204	282	330
rna-XM_003251723.4	40	2	11	70	16	39	29	31	40	165	48	63
rna-XM_016916682.2	7881	2999	2551	5307	2449	5627	3027	8303	4678	6108	4424	8124
rna-XM_006571667.3	2815	418	983	6433	1860	6290	2941	4388	6087	7382	3532	7746
rna-XR_001704603.2	2	0	0	0	0	1	0	0	2	0	2	4
rna-XM_006571674.3	9	5	2	4	6	9	6	4	5	6	13	9
rna-XM_003251724.4	53	21	14	67	18	42	76	73	163	55	106	132
rna-XM_006571673.3	26	2	16	22	8	16	23	40	24	29	41	65
rna-XM_006571676.3	6	1	4	5	2	3	9	6	12	8	9	13
rna-XM_026442308.1	182	86	109	136	55	137	88	136	112	143	73	211
rna-XM_026442303.1	1	0	1	2	0	1	5	6	5	4	4	3
rna-XM_026442317.1	7	7	3	4	2	4	1	0	3	3	1	13
rna-XR_003305172.1	0	1	1	2	1	3	2	5	0	0	0	1
rna-XM_016915409.2	948	509	506	837	419	1071	661	862	1037	1251	965	1727
rna-XM_026442324.1	5	0	0	0	0	2	3	0	1	3	0	2
rna-XM_016915393.2	1	0	0	1	0	0	2	0	0	0	2	0
rna-XM_006571679.3	75	15	32	45	13	29	29	43	32	49	72	61
rna-XM_006571681.3	0	0	0	0	0	1	0	0	2	0	0	0
rna-XR_001705165.2	15	2	1	9	0	3	3	9	7	7	4	20
rna-XM_026442938.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442942.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442950.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442935.1	275	123	141	192	102	157	115	173	149	178	164	292
rna-XM_396701.6	338	156	158	222	97	184	126	198	199	191	161	302
rna-XM_026446219.1	495	427	339	451	395	536	480	505	390	760	673	681
rna-XM_016915111.2	53	17	32	104	20	79	46	43	44	94	53	59
rna-XM_006571686.3	643	374	335	523	268	540	373	513	407	610	563	712
rna-XM_623634.6	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571687.3	2	0	2	0	0	0	0	0	0	0	0	0
rna-XM_006571688.3	1245	741	646	960	703	1195	822	1088	881	1213	1308	1511
rna-XM_001121333.5	2282	1027	865	1617	822	1757	1264	1698	1631	1820	1356	2955
rna-XR_003306528.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446269.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446268.1	146	98	60	119	51	153	96	126	77	84	35	172
rna-XR_003306530.1	2	1	1	5	0	1	1	0	0	0	0	1
rna-XR_001705419.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001705420.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001705421.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001705418.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-NM_001037318.2	1	0	0	1	0	2	1	3	1	0	0	2
rna-XM_016911467.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571623.3	0	0	0	0	0	3	0	0	0	0	0	0
rna-XM_003251731.4	43567	25030	19260	49524	23270	70738	29051	42256	33085	34309	27974	54029
rna-XR_003305726.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026443919.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446345.1	1513	900	847	1226	791	1405	1155	1202	1037	1521	1375	1714
rna-XM_016917951.1	304012	270942	136837	708985	336996	1048320	386210	481555	460621	514756	482512	810955
rna-XM_003251734.4	0	0	0	0	0	1	0	0	0	0	0	0
rna-XM_006571698.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571697.3	18	5	10	15	9	15	12	12	9	11	4	15
rna-XM_026446186.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306522.1	4	0	3	5	4	0	1	0	3	6	2	0
rna-XM_006571742.3	3	0	0	8	1	4	0	2	0	1	3	2
rna-XM_003251743.4	1	0	0	0	0	0	0	0	1	0	0	0
rna-XR_003306103.1	4	1	1	5	0	1	1	2	0	0	3	1
rna-XR_003306248.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306246.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306247.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306264.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306265.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306261.1	2	0	1	0	0	0	0	1	2	0	0	1
rna-XR_003306262.1	2	0	1	0	0	1	0	0	0	2	2	0
rna-XR_003306263.1	6	0	4	0	0	1	2	5	2	0	3	4
rna-XM_026445773.1	0	0	1	3	0	0	0	0	1	0	1	0
rna-XM_026445774.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026445775.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001706492.2	37	2	22	21	7	2	7	4	1	7	7	14
rna-NM_001220486.1	390	309	293	426	327	423	367	418	393	546	525	686
rna-NM_001220487.1	139	45	65	100	49	40	41	71	41	59	40	107
rna-NM_001160048.1	8617	4147	3500	5386	3585	7064	4390	7736	4934	7555	7938	10769
rna-XM_624120.6	0	0	0	0	0	0	2	0	0	0	0	0
rna-XM_006571731.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446329.1	109	59	51	91	31	88	39	57	56	74	38	132
rna-XR_003305588.1	0	2	1	3	1	0	0	0	0	3	1	6
rna-XR_003305587.1	11	9	3	13	3	10	4	8	9	5	3	10
rna-XM_003251746.4	1936	860	715	1778	636	6445	1647	2454	1771	3349	3063	4789
rna-XM_006571724.3	0	0	0	0	0	3	0	0	0	0	2	0
rna-XM_006571725.3	0	0	0	1	1	11	0	0	0	2	3	2
rna-XM_006571726.3	0	84	3	0	7	1035	28	2	3	5	50	15
rna-XM_003251744.3	2	1	0	2	0	0	1	0	0	1	0	4
rna-XM_016911521.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446330.1	0	1	4	1	0	0	0	0	0	0	1	1
rna-XM_026443658.1	1	5	2	1	11	1	1	0	3	3	1	3
rna-XM_006571728.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571730.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571729.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016911515.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-TRNAL-UAA	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446309.1	0	0	0	1	0	0	0	0	0	0	0	5
rna-XM_026446306.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446307.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446310.1	1	3	3	0	1	2	2	0	0	3	4	0
rna-XM_026446308.1	0	1	0	0	0	0	1	0	0	2	0	0
rna-XM_026446311.1	570	256	259	359	245	353	216	359	233	249	299	422
rna-XM_026446312.1	3	0	0	1	2	1	0	0	0	0	1	0
rna-XM_001120941.5	213	118	93	170	69	160	123	124	136	198	138	272
rna-XM_006571716.3	61	42	29	46	28	59	38	55	17	51	72	91
rna-XM_003251740.3	210	186	125	197	134	270	236	178	138	263	360	271
rna-XM_006571717.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571719.3	0	0	2	0	1	0	2	0	2	3	1	0
rna-XM_006571718.2	33	49	20	24	36	103	59	32	33	60	68	67
rna-XM_026446160.1	2	0	3	0	0	0	0	0	0	0	0	1
rna-XM_006571702.3	67	42	27	79	34	99	57	67	45	61	74	68
rna-NM_001040255.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571710.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_395725.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571712.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571711.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571713.3	0	2	0	0	0	0	0	0	0	0	0	0
rna-XM_006571714.3	0	0	0	0	0	1	0	0	1	1	0	1
rna-XM_006572587.3	62717	14425	24028	32442	12193	39814	13566	33643	21663	36645	21708	53020
rna-XR_001706388.2	1	5	1	3	2	1	7	9	12	2	2	2
rna-XM_006571708.3	113	51	35	117	131	98	77	143	62	178	93	170
rna-XM_624559.6	57	39	31	50	28	42	49	54	33	65	28	81
rna-XM_026442106.1	1	0	1	0	0	0	0	0	0	0	1	1
rna-XM_006571704.3	7	0	1	10	1	5	3	0	6	6	8	4
rna-XM_006571706.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442083.1	0	0	0	0	0	1	0	0	1	0	0	0
rna-XM_026442077.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016912869.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016912872.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442085.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016912866.2	2	1	0	0	0	7	2	0	4	0	1	3
rna-XM_026442091.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442090.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442095.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442088.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442093.1	9	0	1	15	6	15	0	11	2	8	22	67
rna-XM_026442576.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-NM_001242434.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-NM_001242435.1	0	0	0	0	0	1	0	0	1	0	0	4
rna-XM_006571703.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439236.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439239.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_392630.6	752	556	292	659	473	752	384	493	369	688	710	741
rna-XM_001122830.4	1045	588	672	841	568	838	561	641	478	1391	884	1173
rna-XM_026446482.1	0	0	0	0	0	0	0	0	0	0	0	1
rna-XM_001122332.5	0	0	0	0	0	0	2	0	0	0	0	0
rna-XM_624023.5	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006571857.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439068.1	0	0	0	0	0	1	0	0	0	0	0	0
rna-XM_026439067.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439069.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_624808.5	379	230	250	298	240	324	248	386	298	425	424	447
rna-XM_003251771.4	261	253	229	273	241	226	327	232	220	300	427	356
rna-XM_003251769.4	0	0	0	1	1	0	0	0	1	0	0	0
rna-XM_006571855.3	2	0	0	0	0	0	3	0	0	0	1	3
rna-XM_026439139.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439140.1	0	0	0	0	0	1	1	0	0	0	0	0
rna-XM_624291.6	24	8	7	16	4	12	7	15	13	20	15	18
rna-XR_003304166.1	52	12	13	19	8	29	16	13	14	27	31	20
rna-XM_026439002.1	4	2	0	1	0	6	1	1	3	0	0	0
rna-XM_006572198.3	708	271	280	427	125	413	266	442	366	524	307	589
rna-XM_016917439.2	2	0	1	2	0	0	1	8	0	0	2	1
rna-XM_016917441.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917438.2	1078	733	737	854	680	1105	726	993	831	1118	1231	1369
rna-XM_026438970.1	0	0	0	0	0	0	3	0	0	0	0	0
rna-XM_026438967.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006572017.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026438968.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026438969.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917342.2	1656	822	819	962	534	1284	677	803	896	1052	895	1583
rna-XM_003251812.4	294	237	204	223	211	172	232	204	157	286	382	229
rna-XM_026446510.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446511.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006572009.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446512.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446513.1	7	2	4	14	0	0	4	3	1	2	0	11
rna-XR_003306565.1	0	2	0	0	1	1	4	1	1	0	3	0
rna-XM_026438976.1	893	896	475	914	712	2340	961	1115	978	1405	2044	1400
rna-XM_006572033.3	0	0	0	0	0	0	0	0	2	0	0	0
rna-XM_006572032.3	5	1	0	4	2	3	1	0	1	4	1	4
rna-XM_016917348.2	0	0	0	1	0	0	1	0	0	2	0	1
rna-XM_624792.6	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446468.1	0	0	0	0	0	1	0	0	1	2	0	3
rna-XR_412340.3	0	0	0	0	0	2	0	0	0	0	0	0
rna-XM_026446467.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917347.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917346.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917345.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006572029.2	14342	1414	3150	8713	1166	10953	1698	5622	3406	7292	5804	9915
rna-XM_006572028.3	24	30	29	36	3	71	10	30	7	31	20	28
rna-XM_026439195.1	274	147	125	177	104	253	153	212	76	194	186	233
rna-XR_003304206.1	123	45	89	77	20	47	51	43	42	49	31	80
rna-XR_119732.4	0	0	1	1	0	2	0	0	4	1	1	1
rna-XR_001702257.2	0	0	0	0	0	1	0	1	0	0	0	0
rna-XR_003304207.1	79	13	29	44	10	19	23	27	30	13	39	68
rna-XR_003304209.1	7	2	1	6	1	2	8	2	5	4	6	13
rna-XR_003304208.1	7	2	5	4	1	0	2	6	8	1	1	4
rna-XM_016910871.2	0	0	0	1	0	0	1	0	0	1	0	0
rna-XM_026439194.1	152	71	65	136	56	130	78	160	95	131	88	175
rna-XM_006557621.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016910869.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557625.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557624.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557623.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439192.1	0	0	0	0	0	0	0	0	1	0	0	0
rna-XM_026438852.1	1	2	1	3	0	1	1	3	1	1	0	2
rna-XM_026438851.1	0	0	0	0	0	0	0	0	1	0	0	0
rna-XM_026438853.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026438847.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026438848.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026438849.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026438850.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_001120556.5	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558102.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558101.3	3130	4078	2284	1844	2187	4603	3723	2041	4131	3617	3329	4040
rna-XM_026439029.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439030.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_395844.7	1512	1189	886	1220	844	2279	1352	1159	1302	2524	1814	1885
rna-XM_395972.7	85	95	43	100	69	103	99	64	65	135	113	132
rna-XM_026439232.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439230.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439231.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439233.1	0	0	0	0	0	0	0	0	0	0	2	0
rna-XM_026439234.1	2	1	0	0	1	0	1	3	0	0	0	0
rna-XM_026439228.1	1	1	1	0	1	3	1	0	0	5	0	3
rna-XM_026439229.1	2	0	0	1	1	2	0	0	0	3	0	2
rna-XM_003249180.4	2432	1333	1542	1703	1590	2561	1890	2304	2238	2300	3225	3916
rna-XR_412383.3	38	41	46	32	16	18	23	76	20	73	31	87
rna-XM_026446394.1	1780	828	858	982	745	1016	933	1158	946	1195	1095	1768
rna-XM_624719.6	1539	715	696	905	552	903	699	1208	799	1263	1161	1641
rna-XM_006572117.3	177	25	65	60	32	84	44	61	124	86	110	140
rna-XM_006572121.2	1	2	0	0	0	0	0	1	0	2	0	1
rna-XM_026439143.1	0	2	1	0	0	0	0	2	0	1	0	2
rna-XM_026439055.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439054.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439053.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439052.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439050.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439051.1	0	0	0	0	0	0	0	0	0	0	0	0
