GeneInfo	GeneID	Gene_Desc	PL_N_1906	PL_N_1908	PL_N_1909	PL_P_1912	PL_P_1915	PL_P_1920	PL_SL_1926	PL_SL_1927	PL_SL_1930	PL_SM_1936	PL_SM_1939	PL_SM_1940
XM_014747892.1	LOC106786475	tetratricopeptide repeat protein 27	536	1210	378	656	670	950	659	898	1010	476	748	815
XM_014747893.1	LOC106786476	peroxisomal membrane protein PEX16	829	1300	790	825	771	997	756	952	1088	562	786	778
XM_014747894.1	LOC106786454	uncharacterized LOC106786454	0	0	0	0	0	0	0	0	1	0	0	0
XM_014747895.1	LOC106786477	carbonic anhydrase 2-like	84	133	59	92	76	105	100	95	113	117	87	110
XM_014747896.1	LOC106786478	probable low affinity copper uptake protein 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747897.1	LOC106786478	probable low affinity copper uptake protein 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747898.1	LOC106786478	probable low affinity copper uptake protein 2	3	2	1	3	2	3	4	2	1	4	6	6
XM_014747899.1	LOC106786479	PRA1 family protein 3	37	51	38	33	40	58	46	34	61	33	46	61
XM_014747900.1	LOC106786479	PRA1 family protein 3	117	116	143	123	106	124	125	136	115	133	124	96
XM_014747901.1	LOC106786480	choline O-acetyltransferase	105	66	42	113	44	13	39	48	20	61	40	36
XM_014747902.1	LOC106786481	vesicular acetylcholine transporter	19	2	2	21	12	8	22	3	0	15	9	11
XM_014747903.1	LOC106786454	uncharacterized LOC106786454	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747904.1	LOC106786482	glycine-rich cell wall structural protein 1.0	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747905.1	LOC106786482	glycine-rich cell wall structural protein 1.0	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747906.1	LOC106786482	glycine-rich cell wall structural protein 1.0	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747907.1	LOC106786482	glycine-rich cell wall structural protein 1.0	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747908.1	LOC106786483	DNA oxidative demethylase ALKBH1	0	0	0	0	0	0	0	0	0	0	1	0
XM_014747909.1	LOC106786483	DNA oxidative demethylase ALKBH1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747910.1	LOC106786483	DNA oxidative demethylase ALKBH1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747911.1	LOC106786483	DNA oxidative demethylase ALKBH1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747912.1	LOC106786454	uncharacterized LOC106786454	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747913.1	LOC106786484	proto-oncogene c-Fos	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747914.1	LOC106786484	proto-oncogene c-Fos	3	0	5	0	1	1	2	3	0	4	5	3
XM_014747915.1	LOC106786484	proto-oncogene c-Fos	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747916.1	LOC106786485	protein transport protein Sec61 subunit gamma	1614	1473	1259	1492	1955	1461	1806	1605	1336	1323	1136	1386
XM_014747917.1	LOC106786486	mitogen-activated protein kinase kinase kinase 4	1	5	1	4	2	1	6	2	0	1	5	8
XM_014747918.1	LOC106786486	mitogen-activated protein kinase kinase kinase 4	2	0	0	1	0	0	0	0	0	0	0	0
XM_014747919.1	LOC106786486	mitogen-activated protein kinase kinase kinase 4	0	0	0	1	1	0	0	0	0	0	0	0
XM_014747920.1	LOC106786488	uncharacterized LOC106786488	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747921.1	LOC106786488	uncharacterized LOC106786488	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747922.1	LOC106786454	uncharacterized LOC106786454	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747923.1	LOC106786488	uncharacterized LOC106786488	11	14	3	8	13	4	10	7	7	5	9	6
XM_014747924.1	LOC106786489	uncharacterized LOC106786489	5	0	5	13	6	1	10	6	1	6	6	9
XM_014747925.1	LOC106786489	uncharacterized LOC106786489	1	0	6	3	3	2	3	0	1	8	2	3
XM_014747926.1	LOC106786489	uncharacterized LOC106786489	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747927.1	LOC106786490	ubiquitin	3237	3266	2538	3118	2247	2727	2809	2924	2774	2615	2752	3720
XM_014747928.1	LOC106786491	serine/threonine-protein kinase 11-interacting protein	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747929.1	LOC106786491	serine/threonine-protein kinase 11-interacting protein	2	0	0	0	0	4	1	0	0	0	0	1
XM_014747930.1	LOC106786491	serine/threonine-protein kinase 11-interacting protein	163	176	84	131	112	130	143	131	119	153	116	147
XM_014747931.1	LOC106786491	serine/threonine-protein kinase 11-interacting protein	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747932.1	LOC106786491	serine/threonine-protein kinase 11-interacting protein	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747933.1	LOC106786491	serine/threonine-protein kinase 11-interacting protein	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747934.1	LOC106786491	serine/threonine-protein kinase 11-interacting protein	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747935.1	LOC106786492	heat shock 70 kDa protein cognate 3	11	8	9	13	5	4	4	4	5	3	15	9
XM_014747936.1	LOC106786492	heat shock 70 kDa protein cognate 3	4	16	5	10	4	9	9	6	9	7	4	11
XM_014747937.1	LOC106786492	heat shock 70 kDa protein cognate 3	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747938.1	LOC106786493	60 kDa SS-A/Ro ribonucleoprotein-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747939.1	LOC106786493	60 kDa SS-A/Ro ribonucleoprotein-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747940.1	LOC106786493	60 kDa SS-A/Ro ribonucleoprotein-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747941.1	LOC106786493	60 kDa SS-A/Ro ribonucleoprotein-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747942.1	LOC106786493	60 kDa SS-A/Ro ribonucleoprotein-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747943.1	LOC106786495	transcription factor IIIB 90 kDa subunit	1	0	0	0	0	0	0	0	1	0	1	0
XM_014747944.1	LOC106786494	ferritin light chain, oocyte isoform	18749	30038	20860	20845	16102	23897	18279	30196	27151	15383	18172	20038
XM_014747945.1	LOC106786495	transcription factor IIIB 90 kDa subunit	0	0	0	0	0	0	0	0	0	1	0	0
XM_014747946.1	LOC106786495	transcription factor IIIB 90 kDa subunit	0	0	0	0	1	0	0	0	0	2	1	0
XM_014747947.1	LOC106786496	BTB/POZ domain-containing protein 6-B-like	9	4	4	4	8	7	10	5	0	9	11	9
XM_014747948.1	LOC106786496	BTB/POZ domain-containing protein 6-B-like	2	8	4	0	1	7	0	4	0	0	4	2
XM_014747949.1	LOC106786497	RNA-binding protein 4.1-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747950.1	LOC106786497	RNA-binding protein 4.1-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747951.1	LOC106786499	zinc finger and SCAN domain-containing protein 12-like	914	2295	610	872	1004	1361	695	1229	1406	648	985	925
XM_014747952.1	LOC106786500	S-adenosylmethionine synthase	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747953.1	LOC106786498	ferritin subunit	25888	47512	29473	27463	23145	33901	26448	40950	40061	21951	26154	26731
XM_014747954.1	LOC106786500	S-adenosylmethionine synthase	11	11	18	18	14	15	17	6	6	13	17	26
XM_014747955.1	LOC106786500	S-adenosylmethionine synthase	3	5	0	5	5	3	6	4	2	5	3	6
XM_014747956.1	LOC106786501	PAX-interacting protein 1-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747957.1	LOC106786501	PAX-interacting protein 1-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747958.1	LOC106786487	ras-like GTP-binding protein Rho1	68	102	34	65	45	42	71	68	65	43	73	97
XM_014747959.1	LOC106786501	PAX-interacting protein 1-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747960.1	LOC106786501	PAX-interacting protein 1-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747961.1	LOC106786501	PAX-interacting protein 1-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747962.1	LOC106786501	PAX-interacting protein 1-like	111	26	73	50	78	65	111	74	71	93	92	172
XM_014747963.1	LOC106786501	PAX-interacting protein 1-like	2	2	5	2	7	6	3	2	2	9	1	3
XM_014747964.1	LOC106786503	disheveled-associated activator of morphogenesis 1	1	2	1	1	4	4	1	6	4	2	6	2
XM_014747965.1	LOC106786503	disheveled-associated activator of morphogenesis 1	3	0	6	2	3	6	6	1	4	5	6	8
XM_014747966.1	LOC106786503	disheveled-associated activator of morphogenesis 1	0	3	0	0	0	0	1	3	0	2	0	1
XM_014747967.1	LOC106786504	uncharacterized LOC106786504	5	2	0	1	6	0	6	2	1	4	3	2
XM_014747968.1	LOC106786502	uncharacterized LOC106786502	838	1101	680	898	737	768	826	929	856	795	1000	851
XM_014747969.1	LOC106786504	uncharacterized LOC106786504	0	1	0	0	1	0	0	0	0	0	0	0
XM_014747970.1	LOC106786505	kinesin-like protein KIF6	10	4	6	2	1	1	6	7	4	2	4	11
XM_014747971.1	LOC106786506	uncharacterized LOC106786506	4	6	18	16	3	14	18	6	8	11	8	23
XM_014747972.1	LOC106786507	solute carrier family 25 member 44	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747973.1	LOC106786507	solute carrier family 25 member 44	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747974.1	LOC106786507	solute carrier family 25 member 44	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747975.1	LOC106786507	solute carrier family 25 member 44	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747976.1	LOC106786508	endoplasmic reticulum metallopeptidase 1-like	1679	2628	1786	1794	1542	1945	1426	2134	1812	1268	1756	1841
XM_014747977.1	LOC106786510	uncharacterized LOC106786510	636	911	544	630	612	805	675	785	786	701	670	739
XM_014747978.1	LOC106786511	26S proteasome complex subunit DSS1	3000	3905	2965	3227	2213	2618	3086	3018	2994	3039	2513	2746
XM_014747979.1	LOC106786512	diphthamide biosynthesis protein 1	875	2108	793	923	991	1485	1134	1410	1574	970	1042	1138
XM_014747980.1	LOC106786509	ankyrin repeat domain-containing protein 12	1656	1116	1034	1364	1661	941	1668	722	753	1653	1525	1761
XM_014747981.1	LOC106786513	RNA-binding protein squid	0	0	1	4	3	3	0	1	1	1	4	1
XM_014747982.1	LOC106786513	RNA-binding protein squid	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747983.1	LOC106786514	uncharacterized LOC106786514	1	5	3	4	2	4	10	1	4	5	5	4
XM_014747984.1	LOC106786515	phosphoribosylformylglycinamidine synthase	5137	5126	5279	4344	3508	4546	3884	4558	3451	2970	3681	4353
XM_014747985.1	LOC106786516	alpha-N-acetylgalactosaminidase	41	14	19	34	33	15	16	27	11	44	43	32
XM_014747986.1	LOC106786516	alpha-N-acetylgalactosaminidase	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747987.1	LOC106786516	alpha-N-acetylgalactosaminidase	5	1	2	3	0	1	1	1	0	3	1	4
XM_014747988.1	LOC106786517	programmed cell death 6-interacting protein	5315	6646	4620	5241	5070	5794	5004	6061	5722	4946	4968	5903
XM_014747989.1	LOC106786519	uncharacterized LOC106786519	2860	2985	3307	4629	218	2297	684	2174	1746	2294	4044	1901
XM_014747990.1	LOC106786520	sodium channel protein Nach	83	112	62	83	94	78	66	76	108	85	69	91
XM_014747991.1	LOC106786521	single-stranded DNA-binding protein, mitochondrial	207	447	154	256	225	289	302	289	306	177	231	270
XM_014747992.1	LOC106786518	nuclear pore complex protein Nup98-Nup96	1925	3461	1551	2185	2177	2716	1851	3016	2742	1657	2558	2694
XM_014747993.1	LOC106786522	small ubiquitin-related modifier-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747994.1	LOC106786522	small ubiquitin-related modifier-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747995.1	LOC106786522	small ubiquitin-related modifier-like	0	1	0	0	0	0	1	1	0	2	1	0
XM_014747996.1	LOC106786523	calcium-binding mitochondrial carrier protein SCaMC-2-A	21	19	18	21	15	7	39	27	13	18	29	24
XM_014747997.1	LOC106786523	calcium-binding mitochondrial carrier protein SCaMC-2-A	0	0	0	0	0	0	0	0	0	0	0	0
XM_014747998.1	LOC106786523	calcium-binding mitochondrial carrier protein SCaMC-2-A	42	45	42	49	36	49	40	50	49	56	46	75
XM_014747999.1	LOC106786523	calcium-binding mitochondrial carrier protein SCaMC-2-A	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748000.1	LOC106786524	6-phosphogluconolactonase	774	2565	608	854	1059	1368	868	1356	1854	627	1088	1186
XM_014748001.1	LOC106786525	high-affinity choline transporter 1	11	7	7	8	5	8	13	2	3	17	8	10
XM_014748002.1	LOC106786527	mediator of RNA polymerase II transcription subunit 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748003.1	LOC106786527	mediator of RNA polymerase II transcription subunit 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748004.1	LOC106786527	mediator of RNA polymerase II transcription subunit 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748005.1	LOC106786528	T-complex protein 1 subunit theta	1692	2767	1280	1808	1871	2368	1819	2440	2716	1505	1568	1840
XM_014748006.1	LOC106786526	cell cycle checkpoint protein RAD17	7	14	2	15	7	7	8	7	4	4	6	6
XM_014748007.1	LOC106786529	ubiquitin-like modifier-activating enzyme 5	1018	1249	802	1169	880	876	1250	1000	1068	858	1093	1122
XM_014748008.1	LOC106786530	actin, muscle	30527	36836	30255	29139	18136	31457	23642	29937	29524	34980	17928	15069
XM_014748009.1	LOC106786531	actin, muscle	6969	6842	5802	7875	4290	7562	5223	6290	6239	6563	3489	2841
XM_014748010.1	LOC106786532	ras GTPase-activating protein-binding protein 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748011.1	LOC106786532	ras GTPase-activating protein-binding protein 2	0	0	0	0	0	1	0	0	0	0	0	4
XM_014748012.1	LOC106786532	ras GTPase-activating protein-binding protein 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748013.1	LOC106786532	ras GTPase-activating protein-binding protein 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748014.1	LOC106786532	ras GTPase-activating protein-binding protein 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748015.1	LOC106786526	cell cycle checkpoint protein RAD17	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748016.1	LOC106786532	ras GTPase-activating protein-binding protein 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748017.1	LOC106786532	ras GTPase-activating protein-binding protein 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748018.1	LOC106786533	lachesin-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748019.1	LOC106786533	lachesin-like	0	0	2	6	0	1	1	7	8	1	2	3
XM_014748020.1	LOC106786533	lachesin-like	35	7	29	32	15	16	11	16	19	22	22	22
XM_014748021.1	LOC106786533	lachesin-like	0	0	0	0	0	0	0	0	1	0	0	0
XM_014748022.1	LOC106786534	moesin/ezrin/radixin homolog 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748023.1	LOC106786534	moesin/ezrin/radixin homolog 1	0	0	0	0	0	0	0	0	0	1	0	0
XM_014748024.1	LOC106786534	moesin/ezrin/radixin homolog 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748025.1	LOC106786534	moesin/ezrin/radixin homolog 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748026.1	LOC106786534	moesin/ezrin/radixin homolog 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748027.1	LOC106786534	moesin/ezrin/radixin homolog 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748028.1	LOC106786536	E3 ubiquitin-protein ligase MIB2	947	1174	622	776	737	739	793	957	796	685	968	970
XM_014748029.1	LOC106786535	transmembrane protein 70 homolog, mitochondrial	182	294	141	163	195	194	145	199	242	133	151	190
XM_014748030.1	LOC106786537	contactin	785	1437	614	954	1052	1072	907	1260	1177	753	1012	993
XM_014748031.1	LOC106786538	probable E3 ubiquitin-protein ligase HERC4	0	3	0	0	0	0	0	0	0	0	0	0
XM_014748032.1	LOC106786538	probable E3 ubiquitin-protein ligase HERC4	0	0	0	0	0	2	0	0	1	1	0	2
XM_014748033.1	LOC106786538	probable E3 ubiquitin-protein ligase HERC4	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748034.1	LOC106786539	integrator complex subunit 2	0	0	0	2	1	0	0	0	0	0	0	0
XM_014748035.1	LOC106786539	integrator complex subunit 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748036.1	LOC106786540	serine/threonine/tyrosine-interacting protein-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748037.1	LOC106786540	serine/threonine/tyrosine-interacting protein-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748038.1	LOC106786542	protein NPC2 homolog	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748039.1	LOC106786542	protein NPC2 homolog	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748040.1	LOC106786542	protein NPC2 homolog	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748041.1	LOC106786542	protein NPC2 homolog	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748042.1	LOC106786541	acetylcholinesterase-like	178	93	108	158	141	103	145	107	84	161	159	173
XM_014748043.1	LOC106786543	WD repeat-containing protein 75	699	1805	512	868	877	1096	900	1124	1314	761	807	970
XM_014748044.1	LOC106786544	BTB/POZ domain-containing protein 9	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748045.1	LOC106786544	BTB/POZ domain-containing protein 9	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748046.1	LOC106786544	BTB/POZ domain-containing protein 9	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748047.1	LOC106786487	ras-like GTP-binding protein Rho1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748048.1	LOC106786545	phosphoacetylglucosamine mutase	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748049.1	LOC106786545	phosphoacetylglucosamine mutase	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748050.1	LOC106786546	2',5'-phosphodiesterase 12	434	931	272	396	450	560	455	594	665	336	468	552
XM_014748051.1	LOC106786547	hemocytin	874	698	742	705	656	868	328	780	802	726	627	425
XM_014748052.1	LOC106786549	uncharacterized LOC106786549	173	126	91	183	141	91	144	93	75	137	142	154
XM_014748053.1	LOC106786550	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-A-like	1	0	0	0	0	1	4	1	0	0	0	0
XM_014748054.1	LOC106786550	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-A-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748055.1	LOC106786551	iroquois-class homeodomain protein IRX-6-like	320	292	201	362	397	202	337	255	211	380	381	450
XM_014748056.1	LOC106786548	ras-like protein 3	42	11	10	73	27	10	88	2	4	31	40	48
XM_014748057.1	LOC106786552	ATP-binding cassette sub-family F member 2	0	0	0	1	0	0	0	0	0	0	0	0
XM_014748058.1	LOC106786552	ATP-binding cassette sub-family F member 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748059.1	LOC106786553	homeobox protein araucan-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748060.1	LOC106786553	homeobox protein araucan-like	17	198	10	22	54	96	39	63	139	20	89	95
XM_014748061.1	LOC106786554	uncharacterized LOC106786554	200	76	158	226	106	85	102	44	65	91	140	114
XM_014748062.1	LOC106786555	histone H2B-like	70	345	19	102	150	192	79	126	269	99	92	86
XM_014748063.1	LOC106786548	ras-like protein 3	6	0	5	9	3	5	2	2	0	6	6	15
XM_014748064.1	LOC106786556	transcriptional repressor p66-beta	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748065.1	LOC106786556	transcriptional repressor p66-beta	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748066.1	LOC106786556	transcriptional repressor p66-beta	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748067.1	LOC106786556	transcriptional repressor p66-beta	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748068.1	LOC106786556	transcriptional repressor p66-beta	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748069.1	LOC106786556	transcriptional repressor p66-beta	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748070.1	LOC106786556	transcriptional repressor p66-beta	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748071.1	LOC106786556	transcriptional repressor p66-beta	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748072.1	LOC106786556	transcriptional repressor p66-beta	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748073.1	LOC106786557	uncharacterized LOC106786557	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748074.1	LOC106786557	uncharacterized LOC106786557	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748075.1	LOC106786559	membrane protein FAM174-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748076.1	LOC106786559	membrane protein FAM174-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748077.1	LOC106786560	uncharacterized LOC106786560	497	947	359	499	338	585	405	616	660	364	419	336
XM_014748078.1	LOC106786558	single-stranded DNA-binding protein 3	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748079.1	LOC106786561	anoctamin-8-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748080.1	LOC106786561	anoctamin-8-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748081.1	LOC106786561	anoctamin-8-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748082.1	LOC106786561	anoctamin-8-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748083.1	LOC106786561	anoctamin-8-like	3	0	2	1	2	0	3	0	1	0	0	5
XM_014748084.1	LOC106786562	MAU2 chromatid cohesion factor homolog	714	1163	549	686	704	843	609	907	913	546	684	763
XM_014748085.1	LOC106786563	F-box only protein 33	168	644	95	227	334	246	162	247	298	102	306	311
XM_014748086.1	LOC106786564	NADH-quinone oxidoreductase subunit B-like	2571	2765	2086	2122	1856	2276	2406	2263	2344	2249	1905	2331
XM_014748087.1	LOC106786558	single-stranded DNA-binding protein 3	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748088.1	LOC106786566	protein prickle-like	6	2	10	6	6	6	1	15	5	11	11	13
XM_014748089.1	LOC106786566	protein prickle-like	4	9	5	7	0	6	7	6	4	4	7	2
XM_014748090.1	LOC106786566	protein prickle-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748091.1	LOC106786566	protein prickle-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748092.1	LOC106786567	eukaryotic translation initiation factor 2D	709	1358	558	796	608	865	778	805	1010	676	789	887
XM_014748093.1	LOC106786568	PX domain-containing protein kinase-like protein	140	163	103	125	105	168	137	159	162	136	100	149
XM_014748094.1	LOC106786568	PX domain-containing protein kinase-like protein	2	5	5	2	0	1	4	1	0	0	1	1
XM_014748095.1	LOC106786558	single-stranded DNA-binding protein 3	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748096.1	LOC106786569	sulfotransferase 1C4-like	9529	10249	6925	8800	6404	9223	7562	9213	10150	9748	6515	9766
XM_014748097.1	LOC106786570	tafazzin homolog	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748098.1	LOC106786570	tafazzin homolog	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748099.1	LOC106786570	tafazzin homolog	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748100.1	LOC106786570	tafazzin homolog	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748101.1	LOC106786570	tafazzin homolog	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748102.1	LOC106786572	gamma-aminobutyric acid type B receptor subunit 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748103.1	LOC106786572	gamma-aminobutyric acid type B receptor subunit 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748104.1	LOC106786558	single-stranded DNA-binding protein 3	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748105.1	LOC106786573	histone H2A-like	52	302	9	71	141	159	64	111	205	79	82	88
XM_014748106.1	LOC106786575	cytosolic carboxypeptidase 6	1	1	1	0	3	0	1	0	3	7	4	4
XM_014748107.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748108.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748109.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748110.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748111.1	LOC106786558	single-stranded DNA-binding protein 3	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748112.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748113.1	LOC106786576	ELAV-like protein 1	4	1	0	3	0	1	2	0	0	0	2	0
XM_014748114.1	LOC106786576	ELAV-like protein 1	8	14	2	18	6	11	5	11	11	15	9	14
XM_014748115.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748116.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748117.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748118.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748119.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748120.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748121.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748122.1	LOC106786558	single-stranded DNA-binding protein 3	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748123.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748124.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748125.1	LOC106786576	ELAV-like protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748126.1	LOC106786577	WD repeat-containing protein 37	442	602	283	392	351	411	403	452	396	278	350	413
XM_014748127.1	LOC106786578	adenylosuccinate synthetase	4942	7559	5489	4047	6899	7073	9772	6230	6240	5376	4427	8254
XM_014748128.1	LOC106786579	alcohol dehydrogenase [NADP(+)]	5600	6766	4764	6457	3627	5625	4660	5650	5719	5191	4362	4778
XM_014748129.1	LOC106786580	homeobox protein MSH-A	29	40	16	22	69	14	149	27	14	23	13	100
XM_014748130.1	LOC106786581	protein ARV1	229	394	161	234	216	240	191	245	279	172	228	254
XM_014748131.1	LOC106786558	single-stranded DNA-binding protein 3	0	2	1	0	0	2	0	0	0	0	0	1
XM_014748132.1	LOC106786582	protein max	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748133.1	LOC106786582	protein max	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748134.1	LOC106786582	protein max	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748135.1	LOC106786582	protein max	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748136.1	LOC106786487	ras-like GTP-binding protein Rho1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014748137.1	LOC106786583	RNA-binding protein 5-like	50	86	56	70	82	75	51	67	65	40	69	83
