GeneInfo	GeneID	Gene_Desc	BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
XM_012308131.2	LOC100643799	angiotensin-converting enzyme	0	0	0	0	0	0	0	1	0	0	2	0
XM_012308132.2	LOC100643926	uncharacterized LOC100643926	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308133.2	LOC100643926	uncharacterized LOC100643926	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308135.2	LOC100643926	uncharacterized LOC100643926	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308136.2	LOC100643926	uncharacterized LOC100643926	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308137.2	LOC100643926	uncharacterized LOC100643926	5	15	1	4	1	10	17	5	4	2	4	5
XM_012308138.2	LOC100643926	uncharacterized LOC100643926	79	44	40	43	50	40	88	53	39	31	26	24
XM_012308139.2	LOC100643926	uncharacterized LOC100643926	100	130	113	151	133	107	197	104	144	141	107	108
XM_012308140.2	LOC100643926	uncharacterized LOC100643926	1	0	0	0	0	0	0	0	0	1	0	0
XM_012308141.2	LOC100644052	activin receptor type-2B	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308142.2	LOC100644286	protogenin	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308144.2	LOC100644634	cytoplasmic polyadenylation element-binding protein 1	1	0	0	2	0	2	1	2	0	0	0	3
XM_012308145.2	LOC100644881	protein lap4	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308146.2	LOC100644881	protein lap4	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308148.2	LOC100644881	protein lap4	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308149.2	LOC100644881	protein lap4	10	3	10	11	3	8	7	8	4	17	9	2
XM_012308150.2	LOC100644881	protein lap4	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308151.2	LOC100648891	protein SON	1407	1842	1618	1425	1244	1484	1767	1406	1048	1416	1177	1237
XM_012308152.2	LOC100644881	protein lap4	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308153.2	LOC100644881	protein lap4	2	0	1	0	0	0	2	1	3	2	0	3
XM_012308154.2	LOC100645239	alpha-2-macroglobulin receptor-associated protein	2674	3400	2525	2533	2199	2507	2954	2371	2230	2059	1806	2384
XM_012308155.2	LOC105665683	transmembrane and ubiquitin-like domain-containing protein 1	0	2	0	1	0	0	1	1	1	2	0	1
XM_012308157.2	LOC100645986	isoleucine--tRNA ligase, cytoplasmic	1122	1180	830	1200	1142	1493	1426	1058	1003	882	1387	1090
XM_012308159.2	LOC100646584	phosphatidylcholine:ceramide cholinephosphotransferase 2	1	2	0	1	4	1	1	2	1	0	0	0
XM_012308160.2	LOC100646584	phosphatidylcholine:ceramide cholinephosphotransferase 2	9	5	8	3	6	7	9	9	9	5	4	7
XM_012308161.2	LOC100646584	phosphatidylcholine:ceramide cholinephosphotransferase 2	0	1	0	0	2	1	2	1	0	0	1	0
XM_012308162.2	LOC100646584	phosphatidylcholine:ceramide cholinephosphotransferase 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308163.2	LOC100646584	phosphatidylcholine:ceramide cholinephosphotransferase 2	10	4	9	14	8	6	14	13	8	15	9	7
XM_012308164.2	LOC100646584	phosphatidylcholine:ceramide cholinephosphotransferase 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308165.2	LOC100651827	chromatin complexes subunit BAP18	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308166.2	LOC100648080	dual specificity protein phosphatase CDC14B	13	9	4	9	4	7	6	3	4	6	4	5
XM_012308167.2	LOC100646584	phosphatidylcholine:ceramide cholinephosphotransferase 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308168.2	LOC100646584	phosphatidylcholine:ceramide cholinephosphotransferase 2	3	0	3	0	1	1	1	0	0	2	0	4
XM_012308169.2	LOC100643645	protein pangolin, isoforms A/H/I/S	4	5	2	2	3	0	4	2	4	0	5	2
XM_012308172.2	LOC100647018	paired box protein Pax-8	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308173.1	LOC100647018	paired box protein Pax-8	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308174.2	LOC100647571	motile sperm domain-containing protein 1	24	54	69	42	36	35	54	24	44	35	33	43
XM_012308181.2	LOC100647571	motile sperm domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308183.2	LOC100647376	peptidyl-prolyl cis-trans isomerase cyp11	2	2	0	0	0	1	2	0	1	1	1	5
XM_012308185.2	LOC100648015	uncharacterized LOC100648015	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308188.2	LOC100647769	eukaryotic translation initiation factor 4E type 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308189.2	LOC100647769	eukaryotic translation initiation factor 4E type 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308193.2	LOC100648473	2-acylglycerol O-acyltransferase 1	1	1	1	0	1	3	0	0	3	0	0	0
XM_012308194.2	LOC100648473	2-acylglycerol O-acyltransferase 1	16	1	2	4	12	17	2	8	1	1	3	1
XM_012308195.2	LOC100648473	2-acylglycerol O-acyltransferase 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308197.2	LOC100648973	protein GDAP2 homolog	0	0	0	0	0	0	0	0	0	1	0	0
XM_012308198.2	LOC100648973	protein GDAP2 homolog	1	0	0	1	0	0	0	0	0	0	0	0
XM_012308200.2	LOC100649207	flagellar attachment zone protein 1	1	0	2	2	0	3	1	0	1	3	4	0
XM_012308201.2	LOC100644011	uncharacterized LOC100644011	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308202.2	LOC100648080	dual specificity protein phosphatase CDC14B	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308203.2	LOC100649688	translation machinery-associated protein 16	308	425	356	341	262	347	465	330	333	303	294	268
XM_012308204.2	LOC100650479	glutamyl aminopeptidase	9	10	39	11	6	4	16	1	8	17	4	41
XM_012308206.2	LOC100650597	pyrokinin-1 receptor	8	6	4	2	2	4	12	1	2	1	2	4
XM_012308207.2	LOC100650597	pyrokinin-1 receptor	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308208.2	LOC100650597	pyrokinin-1 receptor	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308210.2	LOC100650597	pyrokinin-1 receptor	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308211.2	LOC100651035	glutathione S-transferase	3731	7601	3905	5262	4913	3747	6354	3770	3795	3036	4025	3892
XM_012308212.2	LOC100651365	carcinine transporter	150	175	92	190	133	189	227	121	218	266	170	111
XM_012308213.2	LOC100651365	carcinine transporter	3	0	0	0	0	1	0	0	1	0	0	0
XM_012308214.2	LOC100651245	glutathione S-transferase	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308215.2	LOC100651245	glutathione S-transferase	1	1	0	2	1	0	1	1	0	4	0	2
XM_012308216.2	LOC100651245	glutathione S-transferase	19	6	5	9	13	3	17	8	15	31	8	2
XM_012308217.2	LOC100651245	glutathione S-transferase	4	0	0	0	2	1	1	1	1	4	0	2
XM_012308218.2	LOC100651245	glutathione S-transferase	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308219.2	LOC100651482	carcinine transporter	10	7	6	3	4	5	22	4	7	25	14	4
XM_012308220.2	LOC100651482	carcinine transporter	5	6	3	3	2	4	9	1	4	6	3	6
XM_012308223.2	LOC100651482	carcinine transporter	7	4	1	0	6	8	6	4	3	7	5	2
XM_012308224.2	LOC100651796	organic cation transporter protein	1403	1406	1133	1326	1280	1088	1700	1316	1601	1500	1036	836
XM_012308225.2	LOC100651676	E3 ubiquitin-protein ligase RNF38	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308226.2	LOC100651676	E3 ubiquitin-protein ligase RNF38	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308228.2	LOC100642685	zinc finger protein 1	4	0	1	5	2	3	0	2	0	0	0	1
XM_012308230.1	LOC100643927	uncharacterized LOC100643927	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308231.1	LOC100643927	uncharacterized LOC100643927	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308232.1	LOC100643927	uncharacterized LOC100643927	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308233.2	LOC100644364	uncharacterized LOC100644364	0	0	0	0	0	0	0	0	0	2	0	0
XM_012308234.2	LOC100644364	uncharacterized LOC100644364	0	0	0	0	0	0	0	1	0	0	0	0
XM_012308235.2	LOC100644364	uncharacterized LOC100644364	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308236.2	LOC100644364	uncharacterized LOC100644364	0	0	0	1	0	0	0	0	2	0	0	1
XM_012308237.2	LOC100644364	uncharacterized LOC100644364	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308238.2	LOC100644364	uncharacterized LOC100644364	0	4	2	1	0	1	0	1	0	1	1	1
XM_012308239.2	LOC100644364	uncharacterized LOC100644364	2	0	2	1	0	3	1	0	3	1	1	3
XM_012308241.2	LOC100644364	uncharacterized LOC100644364	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308243.1	LOC100643688	zinc finger protein 830	614	522	506	507	457	448	615	539	430	472	314	340
XM_012308244.2	LOC100644482	DNA-dependent protein kinase catalytic subunit	1400	1491	1412	1038	956	992	1063	1001	909	1063	736	769
XM_012308245.2	LOC100644167	short-chain-enoyl-CoA hydratase	555	647	580	525	447	447	641	472	419	413	406	446
XM_012308246.2	LOC100644396	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308247.2	LOC100644396	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308248.2	LOC100644396	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308249.2	LOC100644396	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308250.2	LOC100644635	chorion peroxidase	75	47	2	22	40	17	2	12	13	19	23	12
XM_012308251.2	LOC100644882	zinc finger MIZ domain-containing protein 1	4630	2166	3069	3494	3415	3388	3789	4121	3091	2348	1974	2240
XM_012308252.2	LOC105665689	uncharacterized protein C6orf203 homolog	269	351	229	220	225	264	252	254	196	220	190	233
XM_012308253.2	LOC100648662	protein disulfide-isomerase A3	19	6	13	11	12	8	12	8	7	7	3	6
XM_012308254.2	LOC100645368	pre-mRNA-splicing factor 18	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308255.2	LOC100645590	ras-related C3 botulinum toxin substrate 1	1	0	0	0	1	1	1	2	2	0	0	1
XM_012308257.2	LOC100645942	double-strand-break repair protein rad21 homolog	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308258.2	LOC100645942	double-strand-break repair protein rad21 homolog	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308259.2	LOC100646620	protein NDUFAF4 homolog	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308260.2	LOC100645075	xaa-Pro aminopeptidase 1	36	15	22	26	16	18	21	29	30	34	9	14
XM_012308261.1	LOC105665690	facilitated trehalose transporter Tret1-like	286	314	227	158	238	173	287	278	270	124	202	376
XM_012308263.2	LOC100646409	mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	22	29	17	19	34	26	23	36	11	11	11	21
XM_012308265.2	LOC100646409	mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	0	0	0	0	0	0	1	0	0	0	0	0
XM_012308266.2	LOC100646409	mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308268.2	LOC100646861	uncharacterized LOC100646861	1	4	2	2	3	4	4	6	1	0	1	3
XM_012308269.2	LOC100646861	uncharacterized LOC100646861	4	2	1	0	3	1	2	0	0	4	0	0
XM_012308270.2	LOC100646861	uncharacterized LOC100646861	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308271.1	LOC100646979	viral IAP-associated factor homolog	637	890	676	744	624	640	1048	669	598	616	702	599
XM_012308272.2	LOC100649013	ras-like GTP-binding protein Rho1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308273.2	LOC100646738	uncharacterized LOC100646738	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308274.2	LOC100646738	uncharacterized LOC100646738	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308275.2	LOC100646738	uncharacterized LOC100646738	96	79	70	70	72	71	128	101	77	45	82	53
XM_012308276.2	LOC100646738	uncharacterized LOC100646738	4	0	1	1	3	1	0	0	2	2	1	0
XM_012308280.2	LOC100649013	ras-like GTP-binding protein Rho1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308286.2	LOC105665697	zinc finger protein 41-like	96	75	83	110	78	71	88	59	61	78	52	58
XM_012308288.2	LOC100649013	ras-like GTP-binding protein Rho1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308291.2	LOC100648129	zinc finger protein 157	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308292.2	LOC100648129	zinc finger protein 157	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308293.2	LOC100648358	rap guanine nucleotide exchange factor 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308297.2	LOC100649013	ras-like GTP-binding protein Rho1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308300.2	LOC100648358	rap guanine nucleotide exchange factor 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308302.2	LOC100648358	rap guanine nucleotide exchange factor 2	19	6	8	10	7	6	9	10	12	8	3	4
XM_012308303.1	LOC100648358	rap guanine nucleotide exchange factor 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308305.2	LOC100648358	rap guanine nucleotide exchange factor 2	42	27	19	20	25	25	59	25	27	26	24	5
XM_012308306.1	LOC100648358	rap guanine nucleotide exchange factor 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308310.1	LOC100648819	uncharacterized LOC100648819	8	3	11	4	14	10	7	14	13	8	1	8
XM_012308312.2	LOC105665699	coiled-coil domain-containing protein 103	11	23	29	19	8	24	13	24	13	21	7	14
XM_012308313.2	LOC100649013	ras-like GTP-binding protein Rho1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308314.2	LOC105665700	uncharacterized LOC105665700	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308315.2	LOC105665701	cytochrome b-c1 complex subunit 7-like	0	0	2	0	0	0	1	0	0	1	0	0
XM_012308318.2	LOC100649013	ras-like GTP-binding protein Rho1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308324.2	LOC100642564	proton-coupled amino acid transporter-like protein pathetic	12	12	26	51	13	8	44	44	96	30	23	14
XM_012308325.2	LOC100645189	uncharacterized LOC100645189	43	57	53	56	51	37	82	53	40	35	27	38
XM_012308329.2	LOC100649013	ras-like GTP-binding protein Rho1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308330.2	LOC105665705	uncharacterized LOC105665705	0	0	0	0	0	2	4	1	0	0	0	1
XM_012308334.2	LOC100643523	RNA polymerase-associated protein CTR9 homolog	17	13	10	14	8	21	21	18	18	10	28	10
XM_012308336.2	LOC105665708	uncharacterized LOC105665708	55	17	43	19	28	14	53	31	25	52	7	20
XM_012308339.2	LOC100649012	small glutamine-rich tetratricopeptide repeat-containing protein alpha	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308342.2	LOC100644126	uncharacterized LOC100644126	1	1	1	1	1	0	4	1	2	0	1	0
XM_012308344.2	LOC100644960	eclosion hormone	1	0	0	0	1	0	0	0	1	1	0	0
XM_012308345.2	LOC100651827	chromatin complexes subunit BAP18	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308346.2	LOC105665714	putative uncharacterized protein DDB_G0282133	4	1	1	0	2	0	0	0	3	2	5	1
XM_012308350.2	LOC100647929	F-box only protein 39-like	9	14	7	6	15	15	14	9	9	7	9	14
XM_012308351.2	LOC100649012	small glutamine-rich tetratricopeptide repeat-containing protein alpha	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308352.2	LOC100649012	small glutamine-rich tetratricopeptide repeat-containing protein alpha	3	1	5	3	0	1	5	0	0	1	5	4
XM_012308353.2	LOC100649012	small glutamine-rich tetratricopeptide repeat-containing protein alpha	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308354.2	LOC100643282	acetylcholine receptor subunit beta-like 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308355.2	LOC100643282	acetylcholine receptor subunit beta-like 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308356.2	LOC100650762	E3 SUMO-protein ligase PIAS2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308357.2	LOC100650762	E3 SUMO-protein ligase PIAS2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308358.2	LOC100650762	E3 SUMO-protein ligase PIAS2	5	5	6	5	6	4	1	2	3	3	4	10
XM_012308360.2	LOC100645193	DNA polymerase iota	0	0	0	1	0	1	0	0	0	0	0	0
XM_012308361.2	LOC100645193	DNA polymerase iota	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308363.2	LOC100649245	uncharacterized LOC100649245	26	32	40	18	19	15	21	30	21	25	12	25
XM_012308364.2	LOC100645486	tripartite motif-containing protein 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308365.2	LOC100645486	tripartite motif-containing protein 2	0	0	2	0	1	2	0	4	3	3	1	2
XM_012308367.2	LOC100648360	sorting nexin-29	0	0	0	0	0	1	0	0	0	1	0	0
XM_012308368.2	LOC100648360	sorting nexin-29	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308369.2	LOC100648360	sorting nexin-29	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308370.2	LOC100648744	pikachurin	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308371.2	LOC100647963	putative ferric-chelate reductase 1 homolog	151	93	125	123	88	74	107	104	121	118	60	77
XM_012308372.2	LOC100647963	putative ferric-chelate reductase 1 homolog	0	1	0	2	2	1	0	0	0	0	0	1
XM_012308373.2	LOC105665717	uncharacterized LOC105665717	1596	763	1691	1131	754	608	696	965	1009	1231	511	450
XM_012308374.2	LOC100644718	uncharacterized LOC100644718	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308375.2	LOC100644718	uncharacterized LOC100644718	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308377.2	LOC100644718	uncharacterized LOC100644718	0	0	0	1	1	0	0	0	0	0	0	0
XM_012308378.2	LOC100649767	uncharacterized LOC100649767	0	1	0	0	1	0	2	0	0	1	0	0
XM_012308380.2	LOC105665718	uncharacterized LOC105665718	2401	1605	1657	1673	1514	1452	1826	1955	1841	1456	1273	1236
XM_012308381.2	LOC100648434	NSFL1 cofactor p47	2252	2649	2254	1976	1750	2133	2889	1835	1838	2025	1541	1981
XM_012308383.1	LOC100642486	probable cleavage and polyadenylation specificity factor subunit 2	1	0	0	1	1	0	1	0	3	0	2	0
XM_012308384.1	LOC100645370	protein phosphatase 1B	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308385.2	LOC100645370	protein phosphatase 1B	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308386.2	LOC100645370	protein phosphatase 1B	4	2	0	3	7	1	3	1	5	3	2	1
XM_012308387.2	LOC100646702	tryptophan--tRNA ligase, cytoplasmic	930	1073	751	973	828	1049	1160	1079	895	853	856	779
XM_012308388.2	LOC100644288	papilin	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308390.2	LOC100644288	papilin	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308391.2	LOC100644288	papilin	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308392.2	LOC100644288	papilin	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308393.2	LOC100644288	papilin	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308394.2	LOC100644288	papilin	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308395.2	LOC100644288	papilin	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308396.2	LOC100644288	papilin	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308398.1	LOC100647728	beclin-1-like protein	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308400.2	LOC100649805	protein jagged-1	277	264	156	157	195	217	198	172	217	200	137	157
XM_012308401.2	LOC100644603	ADP-ribosylation factor-like protein 2	644	871	580	631	602	744	768	567	689	527	568	580
XM_012308403.2	LOC100652276	uncharacterized LOC100652276	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308404.2	LOC100651002	INO80 complex subunit D	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308405.2	LOC100651002	INO80 complex subunit D	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308408.2	LOC100649318	mucin-5AC	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308409.2	LOC100650881	E3 ubiquitin-protein ligase TRIP12	0	3	0	2	2	0	0	1	0	0	1	1
XM_012308410.2	LOC100650881	E3 ubiquitin-protein ligase TRIP12	2	1	1	1	0	0	1	0	0	0	2	0
XM_012308411.2	LOC100650881	E3 ubiquitin-protein ligase TRIP12	2	0	2	0	2	0	0	2	1	0	1	4
XM_012308412.2	LOC100650881	E3 ubiquitin-protein ligase TRIP12	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308417.2	LOC100643570	40S ribosomal protein S29	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308419.1	LOC105665719	uncharacterized LOC105665719	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308421.1	LOC105665719	uncharacterized LOC105665719	0	1	3	2	1	1	0	0	1	0	1	0
XM_012308424.2	LOC100647808	probable G-protein coupled receptor Mth-like 1	0	0	0	1	0	0	0	0	0	2	0	0
XM_012308425.2	LOC100647808	probable G-protein coupled receptor Mth-like 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308426.2	LOC100647808	probable G-protein coupled receptor Mth-like 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308428.2	LOC100645121	probable G-protein coupled receptor Mth-like 5	72	63	81	91	31	46	62	51	68	40	54	63
XM_012308429.2	LOC100644758	intron-binding protein aquarius	1357	1320	1308	1054	955	1004	1325	1230	970	924	790	868
XM_012308430.1	LOC100651441	tRNA-specific adenosine deaminase 2	52	92	63	66	73	78	84	62	59	57	68	78
XM_012308431.2	LOC100644171	uncharacterized LOC100644171	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308432.2	LOC100646257	adipocyte plasma membrane-associated protein	5350	6162	4330	5738	4457	5431	5095	6863	5719	3730	4274	5638
XM_012308433.2	LOC100649318	mucin-5AC	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308434.2	LOC100646295	protein PFC0760c	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308436.2	LOC100646295	protein PFC0760c	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308437.2	LOC100646295	protein PFC0760c	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308438.2	LOC100646295	protein PFC0760c	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308439.2	LOC100646295	protein PFC0760c	0	0	0	0	0	0	0	0	0	0	0	1
XM_012308441.2	LOC100646295	protein PFC0760c	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308443.2	LOC100646295	protein PFC0760c	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308444.2	LOC100646138	protein PRRC1-B	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308445.2	LOC100646138	protein PRRC1-B	1	0	0	1	1	0	0	1	0	0	1	0
XM_012308446.2	LOC100647770	nucleoporin SEH1	2	3	0	1	4	2	0	3	1	3	1	2
XM_012308448.2	LOC100643194	regulator of G-protein signaling 17	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308451.2	LOC100643801	protein grainyhead	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308453.2	LOC100649290	leucine-rich repeat-containing protein 49	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308455.2	LOC100649290	leucine-rich repeat-containing protein 49	2	4	7	1	0	3	4	4	1	1	3	6
XM_012308457.2	LOC100651156	uncharacterized LOC100651156	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308459.2	LOC100644250	DNA ligase 4	0	1	0	0	0	1	0	0	0	0	0	0
XM_012308461.1	LOC100644250	DNA ligase 4	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308462.1	LOC100644250	DNA ligase 4	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308463.2	LOC100644844	V-type proton ATPase subunit C	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308464.2	LOC100644844	V-type proton ATPase subunit C	11	15	11	9	9	9	13	12	8	5	9	7
XM_012308465.2	LOC100645320	mitochondrial import inner membrane translocase subunit TIM14	311	493	373	411	330	372	447	398	354	319	280	311
XM_012308466.2	LOC100649794	F-BAR domain only protein 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308467.2	LOC100645751	eukaryotic translation initiation factor 2A	2307	2254	1988	2270	2065	2171	2752	2177	2011	2006	2105	1683
XM_012308468.2	LOC100645871	probable ubiquitin carboxyl-terminal hydrolase FAF-X	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308470.2	LOC100645871	probable ubiquitin carboxyl-terminal hydrolase FAF-X	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308474.2	LOC100646293	TLD domain-containing protein 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308475.2	LOC100646293	TLD domain-containing protein 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308476.2	LOC105665723	uncharacterized LOC105665723	67	73	90	74	48	69	56	62	38	55	40	50
XM_012308477.1	LOC100645001	ribosome-releasing factor 2, mitochondrial	401	548	290	392	320	390	459	343	290	257	398	308
XM_012308478.2	LOC105665724	transcription factor kayak	252	160	141	181	170	253	264	222	157	254	117	148
XM_012308479.2	LOC105665724	transcription factor kayak	97	92	102	79	70	74	103	71	68	82	70	69
XM_012308480.2	LOC105665724	transcription factor kayak	475	669	568	515	378	511	536	393	494	661	458	385
XM_012308482.2	LOC100645241	estradiol 17-beta-dehydrogenase 2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308483.2	LOC100647333	sodium/potassium-transporting ATPase subunit alpha	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308484.2	LOC100647333	sodium/potassium-transporting ATPase subunit alpha	5	5	1	1	0	4	0	7	3	2	2	2
XM_012308485.2	LOC100647333	sodium/potassium-transporting ATPase subunit alpha	23	12	10	11	8	4	2	4	3	7	4	3
XM_012308486.2	LOC100647333	sodium/potassium-transporting ATPase subunit alpha	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308487.2	LOC100647333	sodium/potassium-transporting ATPase subunit alpha	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308488.2	LOC100647333	sodium/potassium-transporting ATPase subunit alpha	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308489.2	LOC100647333	sodium/potassium-transporting ATPase subunit alpha	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308491.2	LOC105665726	DNA-directed RNA polymerases I, II, and III subunit RPABC3	43	55	54	46	63	52	54	40	69	52	37	45
XM_012308492.2	LOC105665726	DNA-directed RNA polymerases I, II, and III subunit RPABC3	331	272	381	290	240	317	328	230	304	293	171	169
XM_012308494.2	LOC100648016	helicase SKI2W	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308495.2	LOC100648016	helicase SKI2W	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308496.2	LOC100648016	helicase SKI2W	0	0	0	0	0	0	0	0	0	0	0	0
